what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1328431963207
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1328431963207
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1328431963208
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1328431963208
started,bundle,org.eclipse.wst.common.frameworks,1.2.101.v201107192200,"org.eclipse.wst.common.frameworks",1328431963209
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1328431963209
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1328431963209
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1328431963209
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.4.v20111117-0100,"org.eclipse.mylyn.tasks.ui",1328431963210
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1328431963210
started,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1328431963210
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1328431963210
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1328431963210
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1328431963211
started,bundle,com.google.gdt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gdt.eclipse.core",1328431963211
started,bundle,com.google.gdt.eclipse.login,2.5.1.v201201120043-rel-r37,"com.google.gdt.eclipse.login",1328431963212
started,bundle,com.google.gdt.eclipse.managedapis,2.5.1.v201201120043-rel-r37,"com.google.gdt.eclipse.managedapis",1328431963212
started,bundle,com.google.gdt.eclipse.suite.ext,2.5.1.v201201120043-rel-r37,"com.google.gdt.eclipse.suite.ext",1328431963212
os,sysinfo,,,"linux",1328431963216
arch,sysinfo,,,"x86_64",1328431963216
ws,sysinfo,,,"gtk",1328431963216
locale,sysinfo,,,"en_US",1328431963216
processors,sysinfo,,,"2",1328431963216
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1328431963216
java.runtime.version,sysinfo,,,"1.6.0_23-b23",1328431963216
java.specification.name,sysinfo,,,"Java Platform API Specification",1328431963216
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1328431963216
java.specification.version,sysinfo,,,"1.6",1328431963216
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1328431963216
java.version,sysinfo,,,"1.6.0_23",1328431963216
java.vm.info,sysinfo,,,"mixed mode",1328431963216
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1328431963216
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1328431963216
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1328431963216
java.vm.specification.version,sysinfo,,,"1.0",1328431963216
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1328431963216
java.vm.version,sysinfo,,,"20.0-b11",1328431963216
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328431965012
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1328431967366
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1328431967384
closed,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1328431967399
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1328431972086
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1328431972089
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1328431972091
opened,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1328431972126
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1328431972172
opened,view,org.eclipse.mylyn.tasks.ui,3.6.4.v20111117-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1328431972417
